App;Category;Rating;Reviews;Size;Installs;Type;Price;Content Rating;Genres
Sad Poetry Photo Frames 2018;ART_AND_DESIGN;4,5;176;10;100,000+;Free;0;Everyone;Art & Design
Textgram - write on photos;ART_AND_DESIGN;4,4;295221;Varies with devic;10,000,000+;Free;0;Everyone;Art & Design
Paint Splash!;ART_AND_DESIGN;3,8;2206;1,20;100,000+;Free;0;Everyone;Art & Design
Popsicle Sticks and Similar DIY Craft Ideas;ART_AND_DESIGN;4,2;26;12;10,000+;Free;0;Everyone;Art & Design
Canva: Poster;ART_AND_DESIGN;4,07;174531,00;24;10,000,000+;Free;0;Everyone;Art & Design
Install images with music to make video without Net - 2018;ART_AND_DESIGN;4,6;1070;26;100,000+;Free;0;Everyone;Art & Design
Little Teddy Bear Colouring Book Game;ART_AND_DESIGN;4,2;85;8,00;100,000+;Free;0;Everyone;Art & Design
How To Draw Food;ART_AND_DESIGN;4,3;845;7,90;100,000+;Free;0;Everyone;Art & Design
Monster Truck Stunt 3D 2019;AUTO_AND_VEHICLES;4,2;367;25;100,000+;Free;0;Everyone;Auto & Vehicles
Real Tractor Farming;AUTO_AND_VEHICLES;4;1598;56;1,000,000+;Free;0;Everyone;Auto & Vehicles
Ultimate F1 Racing Championship;AUTO_AND_VEHICLES;3,8;284;57;100,000+;Free;0;Everyone;Auto & Vehicles
Used Cars and Trucks for Sale;AUTO_AND_VEHICLES;4,6;17057;Varies with devic;1,000,000+;Free;0;Everyone;Auto & Vehicles
American Muscle Car Race;AUTO_AND_VEHICLES;3,9;129;35;100,000+;Free;0;Everyone;Auto & Vehicles
Offroad Oil Tanker Driver Transport Truck 2019;AUTO_AND_VEHICLES;4,3;542;33;100,000+;Free;0;Everyone;Auto & Vehicles
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru;AUTO_AND_VEHICLES;4,9;10479;33;100,000+;Free;0;Everyone;Auto & Vehicles
Gas Prices (Germany only);AUTO_AND_VEHICLES;4,4;805;5,60;50,000+;Free;0;Everyone;Auto & Vehicles
Extreme Rally Championship;AUTO_AND_VEHICLES;4,2;129;54;100,000+;Free;0;Everyone;Auto & Vehicles
Restart Navigator;AUTO_AND_VEHICLES;4;1403;201;100,000+;Free;0;Everyone;Auto & Vehicles
REG - Check the regnumber;AUTO_AND_VEHICLES;3,9;3971,00;3,60;100,000+;Free;0;Everyone;Auto & Vehicles
CityBus Lviv;AUTO_AND_VEHICLES;4,6;534;5,70;10,000+;Free;0;Everyone;Auto & Vehicles
CDL Practice Test 2018 Edition;AUTO_AND_VEHICLES;4,9;7774;17;100,000+;Free;0;Everyone;Auto & Vehicles
ezETC (ETC balance inquiry;AUTO_AND_VEHICLES;4,03;38846,00;8,60;1,000,000+;Free;0;Everyone;Auto & Vehicles
Free VIN Report for Used Cars;AUTO_AND_VEHICLES;4,6;2431;2,40;100,000+;Free;0;Everyone;Auto & Vehicles
DMV Permit Practice Test 2018 Edition;AUTO_AND_VEHICLES;4,9;6090;27;100,000+;Free;0;Everyone;Auto & Vehicles
Check Vehicle Tax;AUTO_AND_VEHICLES;3,9;295;2,70;10,000+;Free;0;Everyone;Auto & Vehicles
Used Cars Mexico;AUTO_AND_VEHICLES;4;190;2,50;50,000+;Free;0;Everyone;Auto & Vehicles
Ulysse Speedometer;AUTO_AND_VEHICLES;4,3;40211;Varies with devic;5,000,000+;Free;0;Everyone;Auto & Vehicles
REPUVE;AUTO_AND_VEHICLES;3,9;356;Varies with devic;100,000+;Free;0;Everyone;Auto & Vehicles
Used cars for sale - Trovit;AUTO_AND_VEHICLES;4,2;52530;7,00;5,000,000+;Free;0;Everyone;Auto & Vehicles
Fines of the State Traffic Safety Inspectorate are official: inspection;AUTO_AND_VEHICLES;4,8;116986,00;35;5,000,000+;Free;0;Everyone;Auto & Vehicles
SK Enca Direct Malls - Used Cars Search;AUTO_AND_VEHICLES;3,6;1379;16;500,000+;Free;0;Everyone;Auto & Vehicles
Android Auto - Maps;AUTO_AND_VEHICLES;4,02;271920,00;16;10,000,000+;Free;0;Teen;Auto & Vehicles
PDD-UA;AUTO_AND_VEHICLES;4,8;736;Varies with devic;100,000+;Free;0;Everyone;Auto & Vehicles
Tickets SDA 2019 + Exam RF;AUTO_AND_VEHICLES;4,8;7021;17;500,000+;Free;0;Everyone;Auto & Vehicles
Super Cars Wallpapers And Backgrounds;AUTO_AND_VEHICLES;4,6;197;3,40;50,000+;Free;0;Everyone;Auto & Vehicles
Police Lights;AUTO_AND_VEHICLES;4,5;737,00;8,90;100,000+;Free;0;Everyone;Auto & Vehicles
Police Detector (Speed Camera Radar);AUTO_AND_VEHICLES;4,3;3574;3,90;1,000,000+;Free;0;Everyone 10+;Auto & Vehicles
Best Car Wallpapers;AUTO_AND_VEHICLES;4,5;994;2,90;100,000+;Free;0;Everyone;Auto & Vehicles
Tickets + PDA 2018 Exam;AUTO_AND_VEHICLES;4,9;197136;38;1,000,000+;Free;0;Everyone;Auto & Vehicles
Pick Your Part Garage;AUTO_AND_VEHICLES;3,9;142;32;50,000+;Free;0;Everyone;Auto & Vehicles
PakWheels: Buy & Sell Cars;AUTO_AND_VEHICLES;4,4;15168;37;1,000,000+;Free;0;Everyone;Auto & Vehicles
Supervision service;AUTO_AND_VEHICLES;4;2155;15;500,000+;Free;0;Everyone;Auto & Vehicles
Speed Camera Detector - Traffic & Speed Alert;AUTO_AND_VEHICLES;4,3;138;5,40;100,000+;Free;0;Everyone;Auto & Vehicles
Used car search Goo net whole car Go to net;AUTO_AND_VEHICLES;3,7;5414;18;1,000,000+;Free;0;Everyone;Auto & Vehicles
CarMax ¢?? Cars for Sale: Search Used Car Inventory;AUTO_AND_VEHICLES;4,4;21777;Varies with devic;1,000,000+;Free;0;Everyone;Auto & Vehicles
BEST CAR SOUNDS;AUTO_AND_VEHICLES;4,3;348;38;100,000+;Free;0;Everyone;Auto & Vehicles
RST - Sale of cars on the PCT;AUTO_AND_VEHICLES;3,2;250;1,10;100,000+;Free;0;Everyone;Auto & Vehicles
AutoScout24 Switzerland ¢?? Find your new car;AUTO_AND_VEHICLES;4,6;13372;Varies with devic;1,000,000+;Free;0;Everyone;Auto & Vehicles
Zona Azul Digital Fƒöcil SP CET - OFFICIAL Sƒ?o Paulo;AUTO_AND_VEHICLES;4,6;7880;Varies with devic;100,000+;Free;0;Everyone;Auto & Vehicles
SMS Park;AUTO_AND_VEHICLES;4,5;3617;7,90;100,000+;Free;0;Everyone;Auto & Vehicles
SKencar;AUTO_AND_VEHICLES;3,7;4806;35;1,000,000+;Free;0;Everyone;Auto & Vehicles
Fuelio: Gas log & costs;AUTO_AND_VEHICLES;4,6;65786;Varies with devic;1,000,000+;Free;0;Everyone;Auto & Vehicles
auto fines;AUTO_AND_VEHICLES;4,6;31433;17;1,000,000+;Free;0;Everyone;Auto & Vehicles
Used car is the first car - used car purchase;AUTO_AND_VEHICLES;4,06;5097,00;19;1,000,000+;Free;0;Everyone;Auto & Vehicles
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment);AUTO_AND_VEHICLES;4;1754;14;500,000+;Free;0;Everyone;Auto & Vehicles
Inquiry Fines and Debits of Vehicles;AUTO_AND_VEHICLES;4,4;2680;2,20;500,000+;Free;0;Everyone;Auto & Vehicles
Gas Station;AUTO_AND_VEHICLES;4;1288;4,50;100,000+;Free;0;Everyone;Auto & Vehicles
Hush - Beauty for Everyone;BEAUTY;4,7;18900;17;500,000+;Free;0;Everyone;Beauty
ipsy: Makeup;BEAUTY;4,09;49790,00;14;1,000,000+;Free;0;Everyone;Beauty
Natural recipes for your beauty;BEAUTY;4,7;1150;9,80;100,000+;Free;0;Everyone;Beauty
BestCam Selfie-selfie;BEAUTY;3,09;1739,00;21;500,000+;Free;0;Everyone;Beauty
Mirror - Zoom & Exposure -;BEAUTY;3,9;32090;Varies with devic;1,000,000+;Free;0;Everyone;Beauty
Beauty Selfie Camera;BEAUTY;4,2;2225;52;500,000+;Free;0;Everyone;Beauty
Hairstyles step by step;BEAUTY;4,6;4369;14;100,000+;Free;0;Everyone;Beauty
Filters for Selfie;BEAUTY;4,3;8572;25;1,000,000+;Free;0;Everyone;Beauty
Tie - Always be happy;BEAUTY;4,7;964;9,00;50,000+;Free;0;Everyone;Beauty
Ulta Beauty;BEAUTY;4,7;42050;Varies with devic;1,000,000+;Free;0;Everyone;Beauty
Prom MakeUp Tutorial;BEAUTY;4,8;104;12;10,000+;Free;0;Everyone;Beauty
Selfie Camera;BEAUTY;4,2;17934;Varies with devic;1,000,000+;Free;0;Everyone;Beauty
Sweet Selfie Beauty Camera;BEAUTY;4,3;601;35;100,000+;Free;0;Everyone;Beauty
Colors of white in Urdu;BEAUTY;4,5;36;6,70;10,000+;Free;0;Everyone;Beauty
Selfie Camera Photo Editor & Filter & Sticker;BEAUTY;4,1;187;30;50,000+;Free;0;Teen;Beauty
Wrinkles and rejuvenation;BEAUTY;;182;5,70;100,000+;Free;0;Everyone 10+;Beauty
Eyes Makeup Beauty Tips;BEAUTY;4,2;30;2,90;10,000+;Free;0;Everyone;Beauty
Photo Editor 2018;BEAUTY;4,5;134;17;10,000+;Free;0;Everyone;Beauty
Step By Step Eyes Makeup Tutorial;BEAUTY;4,4;74;2,90;10,000+;Free;0;Everyone;Beauty
Beauty Camera - Selfie Camera;BEAUTY;4;113715;Varies with devic;10,000,000+;Free;0;Everyone;Beauty
Girls Hairstyles;BEAUTY;4,1;3595;Varies with devic;500,000+;Free;0;Everyone;Beauty
Mirror Camera (Mirror + Selfie Camera);BEAUTY;4,1;9315;2,60;1,000,000+;Free;0;Everyone;Beauty
Beauty Tips - Beauty Tips in Sinhala;BEAUTY;4,4;75;4,20;50,000+;Free;0;Everyone;Beauty
Haircut Tutorials/Haircut Videos;BEAUTY;4,6;38;7,10;10,000+;Free;0;Everyone;Beauty
Sephora: Skin Care;BEAUTY;4,5;26834,00;57;1,000,000+;Free;0;Everyone;Beauty
Manicure - nail design;BEAUTY;;119;3,70;50,000+;Free;0;Everyone;Beauty
Sticker Camera - Selfie Filters;BEAUTY;3,9;2277,00;22;500,000+;Free;0;Everyone;Beauty
Filters for B Live;BEAUTY;4,4;2280;24;500,000+;Free;0;Everyone;Beauty
Skin Care and Natural Beauty;BEAUTY;;654;7,40;100,000+;Free;0;Teen;Beauty
Facial Wrinkle Reduction;BEAUTY;4,6;184;21;10,000+;Free;0;Everyone;Beauty
Makeup Videos;BEAUTY;3,8;9;3,40;5,000+;Free;0;Everyone;Beauty
Secrets of beauty;BEAUTY;;77,00;2,90;10,000+;Free;0;Mature 17+;Beauty
Recipes and tips for losing weight;BEAUTY;;35;3,10;10,000+;Free;0;Everyone 10+;Beauty
Discover Color;BEAUTY;4;364;6,40;100,000+;Free;0;Everyone;Beauty
Eyeliner step by step 2018;BEAUTY;4,3;18;3,20;5,000+;Free;0;Everyone;Beauty
Dresses Ideas & Fashions +3000;BEAUTY;4,5;473;8,20;100,000+;Free;0;Mature 17+;Beauty
Lady adviser (beauty;BEAUTY;;30,00;9,90;10,000+;Free;0;Mature 17+;Beauty
Step By Step Hairstyles For Women;BEAUTY;4,1;66;2,90;10,000+;Free;0;Everyone;Beauty
Rainbow Camera;BEAUTY;3,7;3871;23;1,000,000+;Free;0;Everyone;Beauty
Methods of teeth whitening;BEAUTY;4,7;257;4,60;50,000+;Free;0;Everyone;Beauty
Girls hairstyles 2018;BEAUTY;4,2;62;3,10;10,000+;Free;0;Everyone;Beauty
Wattpad à??? Free Books;BOOKS_AND_REFERENCE;4,6;2914724;Varies with devic;100,000,000+;Free;0;Teen;Books & Reference
E-Book Read - Read Book for free;BOOKS_AND_REFERENCE;4,5;1857;4,90;50,000+;Free;0;Everyone;Books & Reference
Download free book with green book;BOOKS_AND_REFERENCE;4,6;4478;9,50;100,000+;Free;0;Everyone 10+;Books & Reference
Wikipedia;BOOKS_AND_REFERENCE;4,4;577550;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
Amazon Kindle;BOOKS_AND_REFERENCE;4,2;814080;Varies with devic;100,000,000+;Free;0;Teen;Books & Reference
Cool Reader;BOOKS_AND_REFERENCE;4,5;246315;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
Dictionary - Merriam-Webster;BOOKS_AND_REFERENCE;4,5;454060;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
NOOK: Read eBooks & Magazines;BOOKS_AND_REFERENCE;4,5;155446;Varies with devic;10,000,000+;Free;0;Teen;Books & Reference
Free Panda Radio Music;BOOKS_AND_REFERENCE;4,5;418;4,20;100,000+;Free;0;Everyone;Books & Reference
Book store;BOOKS_AND_REFERENCE;4,4;22486;5,40;1,000,000+;Free;0;Teen;Books & Reference
FBReader: Favorite Book Reader;BOOKS_AND_REFERENCE;4,5;203130;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
English Grammar Complete Handbook;BOOKS_AND_REFERENCE;4,6;1435;2,80;500,000+;Free;0;Everyone;Books & Reference
Free Books - Spirit Fanfiction and Stories;BOOKS_AND_REFERENCE;4,8;116507;5,00;1,000,000+;Free;0;Teen;Books & Reference
Google Play Books;BOOKS_AND_REFERENCE;3,9;1433233;Varies with devic;1,000,000,000+;Free;0;Teen;Books & Reference
AlReader -any text book reader;BOOKS_AND_REFERENCE;4,6;90468;5,90;5,000,000+;Free;0;Everyone;Books & Reference
Offline English Dictionary;BOOKS_AND_REFERENCE;4,2;860;13;100,000+;Free;0;Everyone;Books & Reference
Oxford Dictionary of English : Free;BOOKS_AND_REFERENCE;4,1;363934;7,10;10,000,000+;Free;0;Everyone;Books & Reference
Offline: English to Tagalog Dictionary;BOOKS_AND_REFERENCE;4,7;967;6,70;500,000+;Free;0;Everyone;Books & Reference
Spanish English Translator;BOOKS_AND_REFERENCE;4,2;87873;Varies with devic;10,000,000+;Free;0;Teen;Books & Reference
FamilySearch Tree;BOOKS_AND_REFERENCE;4,3;17506;17;1,000,000+;Free;0;Everyone;Books & Reference
Cloud of Books;BOOKS_AND_REFERENCE;3,3;1862;19;1,000,000+;Free;0;Everyone;Books & Reference
Recipes of Prophetic Medicine for free;BOOKS_AND_REFERENCE;4,6;2084;6,70;500,000+;Free;0;Everyone;Books & Reference
ReadEra ¢?? free ebook reader;BOOKS_AND_REFERENCE;4,8;47303;21;1,000,000+;Free;0;Everyone;Books & Reference
NOOK App for NOOK Devices;BOOKS_AND_REFERENCE;4,7;19080;Varies with devic;500,000+;Free;0;Everyone;Books & Reference
Anonymous caller detection;BOOKS_AND_REFERENCE;;161;2,70;10,000+;Free;0;Everyone;Books & Reference
Ebook Reader;BOOKS_AND_REFERENCE;4,1;85842;37;5,000,000+;Free;0;Everyone;Books & Reference
Litnet - E-books;BOOKS_AND_REFERENCE;4,6;7831;15;100,000+;Free;0;Teen;Books & Reference
Read books online;BOOKS_AND_REFERENCE;4,1;91615;23;5,000,000+;Free;0;Mature 17+;Books & Reference
English to Urdu Dictionary;BOOKS_AND_REFERENCE;4,6;4620;19;500,000+;Free;0;Everyone;Books & Reference
eBoox: book reader fb2 epub zip;BOOKS_AND_REFERENCE;4,7;21336;23;1,000,000+;Free;0;Everyone;Books & Reference
English Persian Dictionary;BOOKS_AND_REFERENCE;4,5;26875;73;500,000+;Free;0;Everyone;Books & Reference
Flybook;BOOKS_AND_REFERENCE;3,9;1778;4,90;500,000+;Free;0;Mature 17+;Books & Reference
All Maths Formulas;BOOKS_AND_REFERENCE;4,4;2709;6,80;1,000,000+;Free;0;Everyone;Books & Reference
Ancestry;BOOKS_AND_REFERENCE;4,3;64513;Varies with devic;5,000,000+;Free;0;Everyone;Books & Reference
HTC Help;BOOKS_AND_REFERENCE;4,2;8342;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
English translation from Bengali;BOOKS_AND_REFERENCE;4,5;527;2,90;100,000+;Free;0;Everyone;Books & Reference
Pdf Book Download - Read Pdf Book;BOOKS_AND_REFERENCE;4,4;1322;3,50;100,000+;Free;0;Everyone;Books & Reference
Free Book Reader;BOOKS_AND_REFERENCE;3,4;1680;4,00;100,000+;Free;0;Everyone;Books & Reference
eBoox new: Reader for fb2 epub zip books;BOOKS_AND_REFERENCE;4,9;2739;21;50,000+;Free;0;Everyone;Books & Reference
Only 30 days in English;BOOKS_AND_REFERENCE;4,6;1065,00;2,30;500,000+;Free;0;Everyone;Books & Reference
Moon+ Reader;BOOKS_AND_REFERENCE;4,4;233757;Varies with devic;10,000,000+;Free;0;Everyone;Books & Reference
SH-02J Owner's Manual (Android 8.0);BOOKS_AND_REFERENCE;;2;7,20;50,000+;Free;0;Everyone;Books & Reference
English-Myanmar Dictionary;BOOKS_AND_REFERENCE;4,4;8788;10;1,000,000+;Free;0;Everyone;Books & Reference
Golden Dictionary (EN-AR);BOOKS_AND_REFERENCE;4,4;51269;6,10;1,000,000+;Free;0;Everyone;Books & Reference
All Language Translator Free;BOOKS_AND_REFERENCE;4,4;30105;2,10;1,000,000+;Free;0;Everyone;Books & Reference
Azpen eReader;BOOKS_AND_REFERENCE;3,5;156;42;500,000+;Free;0;Everyone;Books & Reference
URBANO V 02 instruction manual;BOOKS_AND_REFERENCE;;114;7,30;100,000+;Free;0;Everyone;Books & Reference
English Dictionary - Offline;BOOKS_AND_REFERENCE;4,4;341157;30;10,000,000+;Free;0;Everyone 10+;Books & Reference
Visual Voicemail by MetroPCS;BUSINESS;4,1;16129;Varies with devic;10,000,000+;Free;0;Everyone;Business
Indeed Job Search;BUSINESS;4,3;674730;Varies with devic;50,000,000+;Free;0;Everyone;Business
Uber Driver;BUSINESS;4,4;1254730;Varies with devic;10,000,000+;Free;0;Everyone;Business
ADP Mobile Solutions;BUSINESS;4,3;85185;29;5,000,000+;Free;0;Everyone;Business
Snag - Jobs Hiring Now;BUSINESS;4,3;32584;Varies with devic;1,000,000+;Free;0;Everyone;Business
Docs To Go¢?÷ Free Office Suite;BUSINESS;4,1;217730;Varies with devic;50,000,000+;Free;0;Everyone;Business
Google My Business;BUSINESS;4,4;70991;Varies with devic;5,000,000+;Free;0;Everyone;Business
OfficeSuite : Free Office + PDF Editor;BUSINESS;4,3;1002861;35;100,000,000+;Free;0;Everyone;Business
USPS MOBILE‚?;BUSINESS;3,9;16589;9,10;1,000,000+;Free;0;Everyone;Business
Job Search by ZipRecruiter;BUSINESS;4,8;148945;25;1,000,000+;Free;0;Everyone;Business
Curriculum vitae App CV Builder Free Resume Maker;BUSINESS;4,5;4458;3,90;500,000+;Free;0;Everyone;Business
Google Primer;BUSINESS;4,4;62272;18;10,000,000+;Free;0;Everyone;Business
Alba Heaven - Alvarez Job Portal Services;BUSINESS;4;8941;12;5,000,000+;Free;0;Everyone;Business
SuperLivePro;BUSINESS;4,3;46353;21;1,000,000+;Free;0;Everyone;Business
Facebook Pages Manager;BUSINESS;4;1279184;Varies with devic;50,000,000+;Free;0;Everyone;Business
OfficeSuite Pro + PDF (Trial);BUSINESS;4,2;88073;Varies with devic;10,000,000+;Free;0;Everyone;Business
My Space - Employment Center;BUSINESS;4,5;67000;Varies with devic;1,000,000+;Free;0;Everyone;Business
Box;BUSINESS;4,2;159872;Varies with devic;10,000,000+;Free;0;Everyone;Business
Polaris Office for LG;BUSINESS;4,2;30847;55;5,000,000+;Free;0;Everyone;Business
Call Blocker;BUSINESS;4,6;188841;3,20;5,000,000+;Free;0;Everyone;Business
Jobs in Alabama - Jobs in Alba;BUSINESS;4,1;11622;Varies with devic;5,000,000+;Free;0;Everyone;Business
Square Point of Sale - POS;BUSINESS;4,6;95912;Varies with devic;5,000,000+;Free;0;Everyone;Business
Plugin:AOT v5.0;BUSINESS;3,1;4034;23;100,000+;Free;0;Everyone;Business
Kariyer.net;BUSINESS;3,9;45964;16;1,000,000+;Free;0;Everyone;Business
SEEK Job Search;BUSINESS;4,3;14955;Varies with devic;1,000,000+;Free;0;Everyone;Business
Become a Job - Find a job or advertise;BUSINESS;4,1;6903;14;1,000,000+;Free;0;Everyone;Business
ZOOM Cloud Meetings;BUSINESS;4,4;31614;37;10,000,000+;Free;0;Everyone;Business
Easy Installer - Apps On SD;BUSINESS;4,1;23055;Varies with devic;5,000,000+;Free;0;Everyone;Business
Facebook Ads Manager;BUSINESS;4,1;19023;Varies with devic;1,000,000+;Free;0;Everyone;Business
IndiaMART: Search Products;BUSINESS;4,05;207372,00;11;5,000,000+;Free;0;Everyone;Business
ViettelPost express delivery;BUSINESS;4,4;1225;25;100,000+;Free;0;Everyone;Business
MyASUS - Service Center;BUSINESS;4,4;380837;7,30;10,000,000+;Free;0;Everyone;Business
Job Korea - Career Jobs;BUSINESS;4,3;10600;6,50;1,000,000+;Free;0;Everyone;Business
Myanmar 2D/3D;BUSINESS;4,6;822;3,10;100,000+;Free;0;Everyone;Business
Quick PDF Scanner + OCR FREE;BUSINESS;4,2;80805;Varies with devic;5,000,000+;Free;0;Everyone;Business
sABN;BUSINESS;4,4;2287;1,50;1,000,000+;Free;0;Everyone;Business
ATI Cargoes and Transportation;BUSINESS;4,7;4162;7,50;100,000+;Free;0;Everyone;Business
Secure Folder;BUSINESS;3,8;14760;8,60;50,000,000+;Free;0;Everyone;Business
UPS Mobile;BUSINESS;3,9;23243;Varies with devic;5,000,000+;Free;0;Everyone;Business
Y! Mobile menu;BUSINESS;;9;1,20;100,000+;Free;0;Everyone;Business
SignEasy | Sign and Fill PDF and other Documents;BUSINESS;4,3;8978;Varies with devic;1,000,000+;Free;0;Everyone;Business
Quick PDF Scanner + OCR FREE;BUSINESS;4,2;80805;Varies with devic;5,000,000+;Free;0;Everyone;Business
Genius Scan - PDF Scanner;BUSINESS;4,4;42492;Varies with devic;1,000,000+;Free;0;Everyone;Business
Tiny Scanner - PDF Scanner App;BUSINESS;4,7;286897;39;10,000,000+;Free;0;Everyone;Business
Fast Scanner : Free PDF Scan;BUSINESS;4,5;103755;14;10,000,000+;Free;0;Everyone;Business
Mobile Doc Scanner (MDScan) Lite;BUSINESS;4,2;46505;19;1,000,000+;Free;0;Everyone;Business
TurboScan: scan documents and receipts in PDF;BUSINESS;4,7;11442;6,80;100,000+;Paid;4,99;Everyone;Business
Tiny Scanner Pro: PDF Doc Scan;BUSINESS;4,8;10295;39;100,000+;Paid;4,99;Everyone;Business
Box;BUSINESS;4,2;159872;Varies with devic;10,000,000+;Free;0;Everyone;Business
Zenefits;BUSINESS;4,2;296;14;50,000+;Free;0;Everyone;Business
Google Ads;BUSINESS;4,3;29313;20;5,000,000+;Free;0;Everyone;Business
Google My Business;BUSINESS;4,4;70991;Varies with devic;5,000,000+;Free;0;Everyone;Business
Slack;BUSINESS;4,4;51507;Varies with devic;5,000,000+;Free;0;Everyone;Business
FreshBooks Classic;BUSINESS;4,1;1802;26;100,000+;Free;0;Everyone;Business
Insightly CRM;BUSINESS;3,8;1383;51;100,000+;Free;0;Everyone;Business
